,Unnamed: 0,year,day,part,status,output,expected_output,error,code,kpass
140,30,2015,14,1,runtime_error,,2655,"Traceback (most recent call last):
  File ""/tmp/tmp3_jq4rnx/tmp.py"", line 5, in <module>
    seconds = int(reindeer[-1][0])
ValueError: invalid literal for int() with base 10: 'Dancer'
","
with open('input.txt') as f:
    reindeer = [line.split() for line in f.readlines()]

seconds = int(reindeer[-1][0])
reindeer = reindeer[:-1]

# Create a dictionary of reindeer and their stats
reindeer_dict = {}
for reindeer in reindeer:
    reindeer_dict[reindeer[0]] = {'speed': int(reindeer[1]), 'fly_time': int(reindeer[2]), 'rest_time': int(reindeer[3])}

# Calculate the distance traveled by each reindeer
distance = {}
for reindeer, stats in reindeer_dict.items():
    cycle_time = stats['fly_time'] + stats['rest_time']
    num_cycles, remainder = divmod(seconds, cycle_time)
    distance[reindeer] = num_cycles * stats['speed'] * stats['fly_time'] + remainder * stats['speed']

# Find the winning reindeer
winning_reindeer = max(distance, key=distance.get)

# Print the distance traveled by the winning reindeer
print(distance[winning_reindeer])
",2.0
141,31,2015,14,2,part1_failed,,1059,,,
142,32,2015,15,1,runtime_error,,21367368,"  File ""/tmp/tmpjd_7jbkw/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
with open('input.txt') as f:
    ingredients = [line.strip().split(': ') for line in f.readlines()]

ingredients = {ingredient[0]: {prop.split(' ')[0]: int(prop.split(' ')[1]) for prop in ingredient[1].split(', ')} for ingredient in ingredients}

max_score = 0
for a in range(101):
    for b in range(101 - a):
        for c in range(101 - a - b):
            d = 100 - a - b - c
            score = 0
            for prop in ingredients:
                score += ingredients[prop]['capacity'] * a + ingredients[prop]['durability'] * b + ingredients[prop]['flavor'] * c + ingredients[prop]['texture'] * d
            if score < 0:
                score = 0
            score *= ingredients['Sprinkles']['capacity'] * a + ingredients['Butterscotch']['capacity'] * b + ingredients['Chocolate']['capacity'] * c + ingredients['Candy']['capacity'] * d
            if score > max_score:
                max_score = score",2.0
143,33,2015,15,2,part1_failed,,1766400,,,
144,34,2015,16,1,runtime_error,,40,"Traceback (most recent call last):
  File ""/tmp/tmpeilml2ag/tmp.py"", line 9, in <module>
    sues[sue_num][key] = int(value)
ValueError: invalid literal for int() with base 10: ''
","
with open('input.txt', 'r') as f:
    sues = {}
    for line in f:
        sue_num = int(line.split(' ')[1][:-1])
        sues[sue_num] = {}
        for characteristic in line.split(' ')[2:]:
            key, value = characteristic.split(':')
            sues[sue_num][key] = int(value)

    gift = {'children': 3, 'cats': 7, 'samoyeds': 2, 'pomeranians': 3, 'akitas': 0, 'vizslas': 0, 'goldfish': 5, 'trees': 3, 'cars': 2, 'perfumes': 1}

    for sue_num, characteristics in sues.items():
        if all(characteristics.get(key, -1) == value for key, value in gift.items()):
            print(sue_num)
            break
",2.0
145,35,2015,16,2,part1_failed,,241,,,
146,36,2015,17,1,wrong_output,"19
",1638,,"
with open('input.txt') as f:
    target = int(f.readline())
    containers = [int(line) for line in f]

count = 0
for i in range(1 << len(containers)):
    total = 0
    for j in range(len(containers)):
        if i & (1 << j):
            total += containers[j]
    if total == target:
        count += 1

print(count)
",2.0
147,37,2015,17,2,part1_failed,,17,,,
148,38,2015,18,1,runtime_error,,814,"  File ""/tmp/tmpjt1l03xp/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
with open('input.txt') as f:
    grid = [list(line.strip()) for line in f.readlines()]

def count_neighbors(grid, x, y):
    neighbors = 0
    for i in range(max(0, x-1), min(x+2, len(grid))):
        for j in range(max(0, y-1), min(y+2, len(grid[0]))):
            if i == x and j == y:
                continue
            if grid[i][j] == '#':
                neighbors += 1
    return neighbors

def animate(grid):
    new_grid = [['.' for _ in range(len(grid[0]))] for _ in range(len(grid))]
    for i in range(len(grid)):
        for j in range(len(grid[0])):
            neighbors = count_neighbors(grid, i, j)
            if grid[i][j] == '#':
                if neighbors == 2 or neighbors == 3:
                    new_grid[i][j] = '#'
            else:
                if",2.0
149,39,2015,18,2,part1_failed,,924,,,
150,40,2015,19,1,runtime_error,,518,"Traceback (most recent call last):
  File ""/tmp/tmprg2uf9_h/tmp.py"", line 13, in <module>
    print(len(generate_molecules(rules.splitlines(), medicine)))
  File ""/tmp/tmprg2uf9_h/tmp.py"", line 7, in generate_molecules
    ''.join(b for a, b in zip(medicine, product(*([a] + replacements.get(a, [a]) for a in medicine))))
  File ""/tmp/tmprg2uf9_h/tmp.py"", line 7, in <genexpr>
    ''.join(b for a, b in zip(medicine, product(*([a] + replacements.get(a, [a]) for a in medicine))))
TypeError: can only concatenate list (not ""str"") to list
","
from itertools import product

def generate_molecules(rules, medicine):
    replacements = {a: b for a, b in (rule.split(' => ') for rule in rules)}
    return set(
        ''.join(b for a, b in zip(medicine, product(*([a] + replacements.get(a, [a]) for a in medicine))))
    )

if __name__ == '__main__':
    with open('input.txt') as f:
        rules, medicine = f.read().split('\n\n')
    print(len(generate_molecules(rules.splitlines(), medicine)))
",2.0
151,41,2015,19,2,part1_failed,,200,,,
152,42,2015,20,1,wrong_output,"2574
",776160,,"
with open('input.txt', 'r') as f:
    target = int(f.read())

house = 1
presents = 0
elf = 1

while presents < target:
    presents += elf * 10
    house += 1
    elf += 1

print(house)
",2.0
153,43,2015,20,2,part1_failed,,786240,,,
154,44,2015,21,1,runtime_error,,78,"  File ""/tmp/tmpmxpep7hn/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
boss_hp, boss_damage, boss_armor = map(int, open('input.txt').read().splitlines())

# Initialize player stats
player_hp = 100
player_damage = 0
player_armor = 0

# Initialize shop items
weapons = [(8, 4), (10, 5), (25, 6), (40, 7), (74, 8)]
armor = [(13, 1), (31, 2), (53, 3), (75, 4), (102, 5)]
rings = [(25, 1, 0), (50, 2, 0), (100, 3, 0), (20, 0, 1), (40, 0, 2), (80, 0, 3)]

# Find the minimum gold spent to win the fight
min_gold = float('inf')
for weapon in weapons:
    for armor_item in armor + [None]:
        for ring1 in rings:
            for ring2 in rings:",2.0
155,45,2015,21,2,part1_failed,,148,,,
156,46,2015,22,1,runtime_error,,953,"  File ""/tmp/tmpwo49n18m/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import sys

def main():
    # Read input
    with open('input.txt', 'r') as f:
        boss_hp = int(f.readline())
        boss_damage = int(f.readline())

    # Initialize player stats
    player_hp = 50
    player_mana = 500

    # Initialize spell costs
    spell_costs = {
        'missile': 53,
        'drain': 73,
        'shield': 113,
        'poison': 173,
        'recharge': 229
    }

    # Initialize spell effects
    spell_effects = {
        'missile': {
            'damage': 4
        },
        'drain': {
            'damage': 2,
            'heal': 2
        },
        'shield': {
            'armor': 7
        },
        'poison': {
            'damage': 3
        },
        'recharge': {
            'mana': 101
        }
    }

    # Initialize spell durations
    spell",2.0
157,47,2015,22,2,part1_failed,,1289,,,
158,48,2015,23,1,runtime_error,,307,"  File ""/tmp/tmpfjjkpit0/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
with open('input.txt') as f:
    instructions = [line.strip() for line in f]

registers = {'a': 0, 'b': 0}
pc = 0
while pc < len(instructions):
    instruction = instructions[pc]
    if instruction.startswith('hlf'):
        register = instruction[4]
        registers[register] //= 2
        pc += 1
    elif instruction.startswith('tpl'):
        register = instruction[4]
        registers[register] *= 3
        pc += 1
    elif instruction.startswith('inc'):
        register = instruction[4]
        registers[register] += 1
        pc += 1
    elif instruction.startswith('jmp'):
        offset = int(instruction[4:])
        pc += offset
    elif instruction.startswith('jie'):
        register, offset = instruction[4:].split(', ')
        offset = int(offset)
        if registers[register] % 2 == 0:
            pc += offset
        else:
            pc += 1
    elif instruction.startswith('jio'):
        ",2.0
159,49,2015,23,2,part1_failed,,160,,,
160,50,2015,24,1,wrong_output,"29728298883
",10439961859,,"
with open('input.txt', 'r') as f:
    weights = [int(line.strip()) for line in f]

# Sort the weights in descending order
weights.sort(reverse=True)

# Find the total weight of all the packages
total_weight = sum(weights)

# Find the weight of each group of packages
group_weights = [total_weight // 3] * 3

# Find the quantum entanglement of each group of packages
group_entanglements = [1] * 3
for i in range(3):
    for weight in weights:
        if group_weights[i] >= weight:
            group_weights[i] -= weight
            group_entanglements[i] *= weight

# Find the group with the fewest packages and the smallest quantum entanglement
min_packages = min(group_weights)
min_entanglement = min(group_entanglements)

# Print the quantum entanglement of the smallest group of packages
print(min_entanglement)
",2.0
161,51,2015,24,2,part1_failed,,72050269,,,
162,52,2015,25,1,wrong_output,"30745398
",9132360,,"
with open('input.txt', 'r') as f:
    row, col = map(int, f.readline().split(','))

code = 1
for i in range(row):
    for j in range(col):
        if i == row - 1 and j == col - 1:
            print(code)
            break
        code = (code * 252533) % 33554393

",2.0
163,53,2015,25,2,part1_failed,,,,,
164,54,2016,1,1,runtime_error,,287,"  File ""/tmp/tmp408t5zk1/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def shortest_path(instructions):
    # Convert the instructions into a list of tuples
    instructions = [(i[0], int(i[1:])) for i in instructions.split(',')]

    # Initialize the current position and direction
    x, y = 0, 0
    direction = 0  # 0 = North, 1 = East, 2 = South, 3 = West

    # Iterate over the instructions
    for instruction in instructions:
        # Turn left or right
        if instruction[0] == 'L':
            direction = (direction - 1) % 4
        elif instruction[0] == 'R':
            direction = (direction + 1) % 4

        # Walk forward
        if direction == 0:
            y += instruction[1]
        elif direction == 1:
            x += instruction[1]
        elif direction == 2:
            y -= instruction[1]
        elif direction == 3:
            x -= instruction[1]

    # Return the shortest path
    return abs(x) + abs(y)


# Read the input
with",2.0
165,55,2016,1,2,part1_failed,,133,,,
166,56,2016,2,1,runtime_error,,12578,"  File ""/tmp/tmpk14yrt8y/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def get_bathroom_code(instructions):
    keypad = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
    current_button = [1, 1]
    bathroom_code = []
    for line in instructions:
        for instruction in line:
            if instruction == 'U':
                if current_button[0] > 0:
                    current_button[0] -= 1
            elif instruction == 'D':
                if current_button[0] < 2:
                    current_button[0] += 1
            elif instruction == 'L':
                if current_button[1] > 0:
                    current_button[1] -= 1
            elif instruction == 'R':
                if current_button[1] < 2:
                    current_button[1] += 1
        bathroom_code.append(keypad[current_button[0]][current_button[1]])
    return ''.join(map(str, bathroom_code))

if __name__ == '__main__':
    with open('",2.0
167,57,2016,2,2,part1_failed,,516DD,,,
168,58,2016,3,1,no_error,"993
",993,,"
with open('input.txt') as f:
    count = 0
    for line in f:
        a, b, c = map(int, line.split())
        if a + b > c and a + c > b and b + c > a:
            count += 1
    print(count)
",0.0
169,59,2016,3,2,wrong_output,"993
",1849,,"
with open('input.txt') as f:
    count = 0
    for line in f:
        a, b, c = map(int, line.split())
        if a + b > c and a + c > b and b + c > a:
            count += 1
    print(count)
",2.0
170,60,2016,4,1,runtime_error,,245102,"  File ""/tmp/tmp44kldce_/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import collections

def is_real_room(encrypted_name):
  # Count the frequency of each letter in the encrypted name.
  letter_counts = collections.Counter(encrypted_name)

  # Find the five most common letters in the encrypted name.
  most_common_letters = letter_counts.most_common(5)

  # Check if the checksum is the five most common letters in the encrypted name, in order, with ties broken by alphabetization.
  checksum = ''.join(letter for letter, count in most_common_letters)
  return checksum == encrypted_name[-6:-1]

def main():
  # Read the input file.
  with open('input.txt') as f:
    encrypted_rooms = f.readlines()

  # Find the sum of the sector IDs of the real rooms.
  sector_id_sum = 0
  for encrypted_room in encrypted_rooms:
    if is_real_room(encrypted_room):
      sector_id_sum += int(encrypted_room.split('-')[-1][:-7])

  # Print the sum of the sector IDs of the real",2.0
171,61,2016,4,2,part1_failed,,324,,,
172,62,2016,5,1,no_error,"1a3099aa
",1a3099aa,,"
import hashlib

def get_password(door_id):
    password = """"
    i = 0
    while len(password) < 8:
        hash = hashlib.md5((door_id + str(i)).encode()).hexdigest()
        if hash[:5] == ""00000"":
            password += hash[5]
        i += 1
    return password

if __name__ == ""__main__"":
    with open(""input.txt"", ""r"") as f:
        door_id = f.read().strip()
    print(get_password(door_id))
",0.0
173,63,2016,5,2,runtime_error,,694190cd,"Traceback (most recent call last):
  File ""/tmp/tmpa4csm2pj/tmp.py"", line 19, in <module>
    print(get_password(door_id))
  File ""/tmp/tmpa4csm2pj/tmp.py"", line 11, in get_password
    if password[pos] is None:
IndexError: list index out of range
","
import hashlib

def get_password(door_id):
    password = [None] * 8
    i = 0
    while None in password:
        hash = hashlib.md5((door_id + str(i)).encode()).hexdigest()
        if hash[:5] == ""00000"":
            pos = int(hash[5], 16)
            if password[pos] is None:
                password[pos] = hash[6]
        i += 1
    return """".join(password)

if __name__ == ""__main__"":
    with open(""input.txt"", ""r"") as f:
        door_id = f.read().strip()
    print(get_password(door_id))
",2.0
174,64,2016,6,1,no_error,"ygjzvzib
",ygjzvzib,,"
with open('input.txt') as f:
    matrix = [list(line.strip()) for line in f]

# Find the most frequent character in each column
most_frequent_characters = []
for column in range(len(matrix[0])):
    characters = [row[column] for row in matrix]
    most_frequent_character = max(set(characters), key=characters.count)
    most_frequent_characters.append(most_frequent_character)

# Combine the most frequent characters to form the error-corrected message
error_corrected_message = ''.join(most_frequent_characters)

# Print the error-corrected message
print(error_corrected_message)
",0.0
175,65,2016,6,2,no_error,"pdesmnoz
",pdesmnoz,,"
with open('input.txt') as f:
    matrix = [list(line.strip()) for line in f]

# Find the least common character in each column
least_common_characters = []
for column in range(len(matrix[0])):
    characters = [row[column] for row in matrix]
    least_common_character = min(set(characters), key=characters.count)
    least_common_characters.append(least_common_character)

# Combine the least common characters to form the error-corrected message
error_corrected_message = ''.join(least_common_characters)

# Print the error-corrected message
print(error_corrected_message)
",0.0
178,68,2016,7,1,wrong_output,"117
",115,,"
import re

def is_tls(ip):
  # Check for ABBA in IP address
  abba = re.compile(r'(.)(.)\2\1')
  if abba.search(ip):
    # Check for ABBA in hypernet sequences
    hypernet = re.compile(r'\[(.*?)\]')
    for match in hypernet.finditer(ip):
      if abba.search(match.group(1)):
        return False
    return True
  return False

# Read input from file
with open('input.txt', 'r') as f:
  ips = f.readlines()

# Count number of IPs that support TLS
count = 0
for ip in ips:
  if is_tls(ip):
    count += 1

# Print result
print(count)
",2.0
179,69,2016,7,2,part1_failed,,231,,,
180,70,2016,8,1,runtime_error,,115,"Traceback (most recent call last):
  File ""/tmp/tmpgc1csdsb/tmp.py"", line 11, in <module>
    _, y, _, b = line.split()
ValueError: too many values to unpack (expected 4)
","
with open('input.txt') as f:
    screen = [['.'] * 50 for _ in range(6)]
    for line in f:
        if line.startswith('rect'):
            a, b = map(int, line.split()[1].split('x'))
            for i in range(b):
                for j in range(a):
                    screen[i][j] = '#'
        elif line.startswith('rotate row'):
            _, y, _, b = line.split()
            y = int(y[2:])
            b = int(b)
            screen[y] = screen[y][-b:] + screen[y][:-b]
        elif line.startswith('rotate column'):
            _, x, _, b = line.split()
            x = int(x[2:])
            b = int(b)
            screen = [row[:x] + row[x:] for row in zip(*screen)][-b:] + screen[:b]
    print(sum(c == '#' for row in screen for c in row))
",2.0
181,71,2016,8,2,part1_failed,,"####.####.####.#...##..#.####.###..####..###...##.
#....#....#....#...##.#..#....#..#.#......#.....#.
###..###..###...#.#.##...###..#..#.###....#.....#.
#....#....#......#..#.#..#....###..#......#.....#.
#....#....#......#..#.#..#....#.#..#......#..#..#.
####.#....####...#..#..#.#....#..#.#.....###..##..",,,
182,72,2016,9,1,runtime_error,,102239,"Traceback (most recent call last):
  File ""/tmp/tmpz4z9uhkf/tmp.py"", line 13, in <module>
    decompressed += marker[0] * int(marker[1])
ValueError: invalid literal for int() with base 10: 'G'
","
with open('input.txt', 'r') as f:
    data = f.read()

stack = []
decompressed = ''
for char in data:
    if char == '(':
        stack.append(decompressed)
        decompressed = ''
    elif char == ')':
        marker = stack.pop()
        decompressed += marker[0] * int(marker[1])
    else:
        decompressed += char

print(len(decompressed))
",2.0
183,73,2016,9,2,part1_failed,,10780403063,,,
184,74,2016,10,1,runtime_error,,118,"  File ""/tmp/tmpvmqiy0vj/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def get_bot_responsible_for_comparing_value_61_and_17_microchips(instructions):
    bots = {}
    for instruction in instructions:
        if instruction.startswith(""value""):
            value, bot = instruction.split("" goes to "")
            bots[bot] = bots.get(bot, []) + [int(value)]
        else:
            bot, low, high = instruction.split("" gives "")
            low_bot, high_bot = low.split("" to "")
            bots[bot] = bots.get(bot, [])
            bots[low_bot] = bots.get(low_bot, []) + [min(bots[bot])]
            bots[high_bot] = bots.get(high_bot, []) + [max(bots[bot])]
    for bot, chips in bots.items():
        if 61 in chips and 17 in chips:
            return bot

with open(""input.txt"") as f:
    instructions = f.readlines()
print(get_bot_responsible_for_comparing_value_61_and_17_micro",2.0
185,75,2016,10,2,part1_failed,,143153,,,
186,76,2016,11,1,runtime_error,,37,"  File ""/tmp/tmpbv_vgbwu/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import itertools
from collections import defaultdict

def parse_input(filename):
    with open(filename) as f:
        floors = [line.strip().split(',') for line in f]
    return floors

def is_valid_state(state):
    for floor in state:
        generators = [obj for obj in floor if obj[-1] == 'G']
        microchips = [obj for obj in floor if obj[-1] == 'M']
        for microchip in microchips:
            if microchip[:-1] not in generators and any(generator[:-1] in generators for generator in generators):
                return False
    return True

def get_next_states(state):
    next_states = []
    for floor, objects in enumerate(state):
        for combination in itertools.combinations(objects, 2):
            new_state = [obj for obj in state]
            new_state[floor] = [obj for obj in objects if obj not in combination]
            new_state[floor + 1] += combination
            if is_valid_state(new_state):
                next_states.append(",2.0
187,77,2016,11,2,part1_failed,,61,,,
