,Unnamed: 0,year,day,part,status,output,expected_output,error,code,kpass
18,18,2015,7,1,runtime_error,,46065,"  File ""/tmp/tmph52z5rb_/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import re

def get_signal(wire, signals):
    if wire.isdigit():
        return int(wire)
    if wire in signals:
        return signals[wire]
    for instruction in instructions:
        match = re.match(r'(\d+|\w+) (AND|OR|LSHIFT|RSHIFT|NOT) (\d+|\w+) -> (\w+)', instruction)
        if match:
            op1, op, op2, dest = match.groups()
            if dest == wire:
                if op == 'AND':
                    signals[wire] = get_signal(op1, signals) & get_signal(op2, signals)
                elif op == 'OR':
                    signals[wire] = get_signal(op1, signals) | get_signal(op2, signals)
                elif op == 'LSHIFT':
                    signals[wire] = get_signal(op1, signals) << int(op2)
                elif op == 'RSHIFT':
                    signals[wire] = get_signal(op1, signals) >> int(op2)
                elif op == '",2.0
19,19,2015,7,2,part1_failed,,14134,,,
20,20,2015,8,1,wrong_output,"1670
",1371,,"
with open('input.txt') as f:
    total = 0
    for line in f:
        total += len(line) - len(eval(line))
    print(total)
",2.0
21,21,2015,8,2,part1_failed,,2117,,,
22,22,2015,9,1,runtime_error,,251,"Traceback (most recent call last):
  File ""/tmp/tmp3o1cesdr/tmp.py"", line 20, in <module>
    print(get_shortest_route(cities))
  File ""/tmp/tmp3o1cesdr/tmp.py"", line 15, in get_shortest_route
    distance += get_distance(route[i], route[i + 1])
TypeError: unsupported operand type(s) for +=: 'int' and 'NoneType'
","
import itertools

def get_distance(city1, city2):
  with open(""input.txt"") as f:
    for line in f:
      if line.startswith(city1 + "" to "" + city2):
        return int(line.split(""="")[1])

def get_shortest_route(cities):
  distances = []
  for route in itertools.permutations(cities):
    distance = 0
    for i in range(len(route) - 1):
      distance += get_distance(route[i], route[i + 1])
    distances.append(distance)
  return min(distances)

cities = [""London"", ""Dublin"", ""Belfast""]
print(get_shortest_route(cities))
",2.0
23,23,2015,9,2,part1_failed,,898,,,
24,24,2015,10,1,runtime_error,,329356,"Traceback (most recent call last):
  File ""/tmp/tmpxf7quruq/tmp.py"", line 6, in <module>
    s = ''.join(str(len(list(g))) + k for k, g in itertools.groupby(s))
NameError: name 'itertools' is not defined
","
with open('input.txt') as f:
    s = f.read().strip()

for _ in range(40):
    s = ''.join(str(len(list(g))) + k for k, g in itertools.groupby(s))

print(len(s))
",2.0
25,25,2015,10,2,part1_failed,,4666278,,,
26,26,2015,11,1,runtime_error,,vzbxxyzz,"  File ""/tmp/tmp6t5s94x6/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def increment_password(password):
    # Convert the password to a list of characters.
    password = list(password)

    # Increment the rightmost character.
    for i in range(len(password) - 1, -1, -1):
        password[i] = chr(ord(password[i]) + 1)
        if password[i] <= 'z':
            break

    # If the rightmost character wrapped around, increment the next character to the left.
    if password[i] == 'a':
        for j in range(i - 1, -1, -1):
            password[j] = chr(ord(password[j]) + 1)
            if password[j] <= 'z':
                break

    # Convert the list of characters back to a string.
    password = ''.join(password)

    # Return the incremented password.
    return password


def is_valid_password(password):
    # Check if the password contains one increasing straight of at least three letters.
    for i in range(len(password) - 2):
        if password[",2.0
27,27,2015,11,2,part1_failed,,vzcaabcc,,,
28,28,2015,12,1,no_error,"111754
",111754,,"
import json

with open('input.txt') as f:
    data = json.load(f)

def sum_numbers(obj):
    if isinstance(obj, int):
        return obj
    elif isinstance(obj, list):
        return sum(sum_numbers(item) for item in obj)
    elif isinstance(obj, dict):
        return sum(sum_numbers(value) for value in obj.values())
    else:
        return 0

print(sum_numbers(data))
",0.0
29,29,2015,12,2,no_error,"65402
",65402,,"
import json

with open('input.txt') as f:
    data = json.load(f)

def sum_numbers(obj):
    if isinstance(obj, int):
        return obj
    elif isinstance(obj, list):
        return sum(sum_numbers(item) for item in obj)
    elif isinstance(obj, dict):
        if any(value == ""red"" for value in obj.values()):
            return 0
        else:
            return sum(sum_numbers(value) for value in obj.values())
    else:
        return 0

print(sum_numbers(data))
",0.0
32,32,2015,13,1,runtime_error,,733,"  File ""/tmp/tmp5ueryhia/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import itertools

def get_happiness_change(seating_arrangement, happiness_changes):
    total_happiness_change = 0
    for i in range(len(seating_arrangement)):
        left_neighbor = seating_arrangement[i-1]
        right_neighbor = seating_arrangement[(i+1)%len(seating_arrangement)]
        total_happiness_change += happiness_changes[left_neighbor][right_neighbor]
        total_happiness_change += happiness_changes[right_neighbor][left_neighbor]
    return total_happiness_change

def get_optimal_seating_arrangement(guest_list, happiness_changes):
    max_happiness_change = -float('inf')
    optimal_seating_arrangement = None
    for seating_arrangement in itertools.permutations(guest_list):
        happiness_change = get_happiness_change(seating_arrangement, happiness_changes)
        if happiness_change > max_happiness_change:
            max_happiness_change = happiness_change
            optimal_seating_arrangement = seating_arrangement
    return optimal_seating_arrangement, max_",2.0
33,33,2015,13,2,part1_failed,,725,,,
34,34,2015,14,1,runtime_error,,2655,"Traceback (most recent call last):
  File ""/tmp/tmp1fgw7t_8/tmp.py"", line 23, in <module>
    reindeer = [parse_reindeer(line) for line in f]
  File ""/tmp/tmp1fgw7t_8/tmp.py"", line 23, in <listcomp>
    reindeer = [parse_reindeer(line) for line in f]
  File ""/tmp/tmp1fgw7t_8/tmp.py"", line 3, in parse_reindeer
    name, speed, duration, rest = line.split()
ValueError: too many values to unpack (expected 4)
","
def parse_reindeer(line):
    name, speed, duration, rest = line.split()
    return name, int(speed), int(duration), int(rest)

def race(reindeer, seconds):
    distances = {}
    for name, speed, duration, rest in reindeer:
        distance = 0
        time_left = seconds
        while time_left > 0:
            if time_left >= duration:
                distance += speed * duration
                time_left -= duration
            else:
                distance += speed * time_left
                time_left = 0
            time_left -= rest
        distances[name] = distance
    return max(distances.values())

with open('input.txt') as f:
    reindeer = [parse_reindeer(line) for line in f]

print(race(reindeer, 2503))
",2.0
35,35,2015,14,2,part1_failed,,1059,,,
36,36,2015,15,1,runtime_error,,21367368,"  File ""/tmp/tmp8oxiqha6/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def read_input():
    ingredients = []
    with open('input.txt') as f:
        for line in f:
            name, properties = line.strip().split(': ')
            properties = [int(x) for x in properties.split(', ')]
            ingredients.append((name, properties))
    return ingredients


def get_max_score(ingredients):
    max_score = 0
    for i in range(101):
        for j in range(101 - i):
            for k in range(101 - i - j):
                l = 100 - i - j - k
                score = get_score(ingredients, i, j, k, l)
                if score > max_score:
                    max_score = score
    return max_score


def get_score(ingredients, i, j, k, l):
    capacity = 0
    durability = 0
    flavor = 0
    texture = 0
    calories = 0
    for ingredient, properties in ingredients:
        capacity += properties[0] * i
        ",2.0
37,37,2015,15,2,part1_failed,,1766400,,,
38,38,2015,16,1,wrong_output,,40,,"
import re

with open('input.txt') as f:
    aunt_sues = [dict(re.findall(r'(\w+): (\d+)', line)) for line in f]

for sue in aunt_sues:
    if sue.get('children') == 3 and sue.get('cats') == 7 and sue.get('samoyeds') == 2 and sue.get('pomeranians') == 3 and sue.get('akitas') == 0 and sue.get('vizslas') == 0 and sue.get('goldfish') == 5 and sue.get('trees') == 3 and sue.get('cars') == 2 and sue.get('perfumes') == 1:
        print(sue)
",2.0
39,39,2015,16,2,part1_failed,,241,,,
40,40,2015,17,1,no_error,"1638
",1638,,"
from itertools import combinations

with open('input.txt') as f:
    containers = [int(line.strip()) for line in f]

count = 0
for i in range(1, len(containers) + 1):
    for combination in combinations(containers, i):
        if sum(combination) == 150:
            count += 1

print(count)
",0.0
41,41,2015,17,2,wrong_output,"4 17
",17,,"
from itertools import combinations

with open('input.txt') as f:
    containers = [int(line.strip()) for line in f]

min_containers = len(containers)
ways = 0
for i in range(1, len(containers) + 1):
    for combination in combinations(containers, i):
        if sum(combination) == 150:
            if i < min_containers:
                min_containers = i
                ways = 1
            elif i == min_containers:
                ways += 1

print(min_containers, ways)
",2.0
42,42,2015,18,1,runtime_error,,814,"  File ""/tmp/tmp_85iqibs/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import numpy as np

def get_neighbors(grid, i, j):
    neighbors = []
    for di in range(-1, 2):
        for dj in range(-1, 2):
            if di == 0 and dj == 0:
                continue
            if i + di < 0 or i + di >= grid.shape[0]:
                continue
            if j + dj < 0 or j + dj >= grid.shape[1]:
                continue
            neighbors.append(grid[i + di, j + dj])
    return neighbors

def step(grid):
    new_grid = np.zeros_like(grid)
    for i in range(grid.shape[0]):
        for j in range(grid.shape[1]):
            neighbors = get_neighbors(grid, i, j)
            num_on = sum(neighbors)
            if grid[i, j] == 1:
                if num_on == 2 or num_on == 3:
                    new_grid[i, j] = 1
            else:
                if num_on == 3",2.0
43,43,2015,18,2,part1_failed,,924,,,
44,44,2015,19,1,wrong_output,"192
",518,,"
from collections import defaultdict

def main():
    with open('input.txt') as f:
        replacements, medicine = f.read().split('\n\n')

    replacements = [line.split(' => ') for line in replacements.splitlines()]
    replacements = {a: b for a, b in replacements}

    molecules = set()
    for a, b in replacements.items():
        for i in range(len(medicine)):
            if medicine[i:i+len(a)] == a:
                molecules.add(medicine[:i] + b + medicine[i+len(a):])

    print(len(molecules))

if __name__ == '__main__':
    main()
",2.0
45,45,2015,19,2,part1_failed,,200,,,
46,46,2015,20,1,timeout_error,,776160,TIMEOUT,"
def get_presents(house_number):
    presents = 0
    for elf in range(1, house_number + 1):
        if house_number % elf == 0:
            presents += elf * 10
    return presents

with open('input.txt', 'r') as f:
    presents = int(f.read())

house_number = 1
while get_presents(house_number) < presents:
    house_number += 1

print(house_number)
",2.0
47,47,2015,20,2,part1_failed,,786240,,,
48,48,2015,21,1,runtime_error,,78,"  File ""/tmp/tmp6xmyoc1c/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from itertools import combinations

with open(""input.txt"") as f:
    boss_hp, boss_damage, boss_armor = map(int, f.readlines())

weapons = [
    (""Dagger"", 8, 4, 0),
    (""Shortsword"", 10, 5, 0),
    (""Warhammer"", 25, 6, 0),
    (""Longsword"", 40, 7, 0),
    (""Greataxe"", 74, 8, 0),
]

armor = [
    (""Leather"", 13, 0, 1),
    (""Chainmail"", 31, 0, 2),
    (""Splintmail"", 53, 0, 3),
    (""Bandedmail"", 75, 0, 4),
    (""Platemail"", 102, 0, 5),
]

rings = [
    (""Damage +1"", 25, 1, 0),
    (""Damage +2"", 50, 2, 0),
    (""Damage +",2.0
49,49,2015,21,2,part1_failed,,148,,,
50,50,2015,22,1,runtime_error,,953,"  File ""/tmp/tmpw_53ejep/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from collections import defaultdict

def parse_input(filename):
    with open(filename) as f:
        lines = f.readlines()
        boss_hp = int(lines[0].split(':')[1])
        boss_dmg = int(lines[1].split(':')[1])
        return boss_hp, boss_dmg

def get_spells():
    spells = defaultdict(lambda: defaultdict(int))
    spells['Magic Missile']['cost'] = 53
    spells['Magic Missile']['dmg'] = 4
    spells['Drain']['cost'] = 73
    spells['Drain']['dmg'] = 2
    spells['Drain']['heal'] = 2
    spells['Shield']['cost'] = 113
    spells['Shield']['armor'] = 7
    spells['Shield']['duration'] = 6
    spells['Poison']['cost'] = 173
    spells['Poison']['dmg'] = 3
    spells['Poison']['duration'] = 6
    spells['Recharge']['cost'] = 229
    spells['Recharge']['mana'] = 101
    spells['Recharge']['",2.0
51,51,2015,22,2,part1_failed,,1289,,,
52,52,2015,23,1,runtime_error,,307,"Traceback (most recent call last):
  File ""/tmp/tmprpz8qkty/tmp.py"", line 8, in <module>
    instruction, arg = instructions[pc].split()
ValueError: too many values to unpack (expected 2)
","
with open('input.txt') as f:
    instructions = [line.strip() for line in f]

registers = {'a': 0, 'b': 0}
pc = 0
while pc < len(instructions):
    instruction, arg = instructions[pc].split()
    if instruction == 'hlf':
        registers[arg] //= 2
        pc += 1
    elif instruction == 'tpl':
        registers[arg] *= 3
        pc += 1
    elif instruction == 'inc':
        registers[arg] += 1
        pc += 1
    elif instruction == 'jmp':
        pc += int(arg)
    elif instruction == 'jie':
        if registers[arg] % 2 == 0:
            pc += int(arg)
        else:
            pc += 1
    elif instruction == 'jio':
        if registers[arg] == 1:
            pc += int(arg)
        else:
            pc += 1

print(registers['b'])
",2.0
53,53,2015,23,2,part1_failed,,160,,,
54,54,2015,24,1,runtime_error,,10439961859,"  File ""/tmp/tmpthko3rs0/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def quantum_entanglement(weights):
    weights.sort()
    total_weight = sum(weights)
    third_group_weight = total_weight // 3
    second_group_weight = third_group_weight * 2
    # Find all possible combinations of packages that weigh exactly the same as the second group
    second_group_combinations = []
    for i in range(len(weights)):
        for j in range(i + 1, len(weights)):
            for k in range(j + 1, len(weights)):
                if weights[i] + weights[j] + weights[k] == second_group_weight:
                    second_group_combinations.append([weights[i], weights[j], weights[k]])
    # Find all possible combinations of packages that weigh exactly the same as the third group
    third_group_combinations = []
    for i in range(len(weights)):
        for j in range(i + 1, len(weights)):
            for k in range(j + 1, len(weights)):
                if weights[i] + weights[j] +",2.0
55,55,2015,24,2,part1_failed,,72050269,,,
56,56,2015,25,1,timeout_error,,9132360,TIMEOUT,"
def get_code(row, col):
    code = 20151125
    for _ in range(1, row * col):
        code = (code * 252533) % 33554393
    return code

row, col = map(int, input().split(','))
print(get_code(row, col))
",2.0
57,57,2015,25,2,part1_failed,,,,,
58,58,2016,1,1,no_error,"287
",287,,"
def get_distance(instructions):
    x, y = 0, 0
    direction = 0  # 0 = north, 1 = east, 2 = south, 3 = west
    for instruction in instructions.split(', '):
        turn = instruction[0]
        distance = int(instruction[1:])
        if turn == 'L':
            direction = (direction - 1) % 4
        elif turn == 'R':
            direction = (direction + 1) % 4
        if direction == 0:
            y += distance
        elif direction == 1:
            x += distance
        elif direction == 2:
            y -= distance
        elif direction == 3:
            x -= distance
    return abs(x) + abs(y)


with open('input.txt') as f:
    instructions = f.read().strip()

print(get_distance(instructions))
",1.0
59,59,2016,1,2,no_error,"133
",133,,"
def get_distance(instructions):
    x, y = 0, 0
    direction = 0  # 0 = north, 1 = east, 2 = south, 3 = west
    visited = set()
    for instruction in instructions.split(', '):
        turn = instruction[0]
        distance = int(instruction[1:])
        if turn == 'L':
            direction = (direction - 1) % 4
        elif turn == 'R':
            direction = (direction + 1) % 4
        for _ in range(distance):
            if direction == 0:
                y += 1
            elif direction == 1:
                x += 1
            elif direction == 2:
                y -= 1
            elif direction == 3:
                x -= 1
            if (x, y) in visited:
                return abs(x) + abs(y)
            visited.add((x, y))


with open('input.txt') as f:
    instructions = f.read().strip()

print(get_distance(instructions))
",0.0
61,61,2016,2,1,runtime_error,,12578,"  File ""/tmp/tmp0b38ttyj/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def get_bathroom_code(instructions):
    keypad = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
    current_button = [1, 1]
    bathroom_code = """"
    for instruction in instructions:
        for move in instruction:
            if move == ""U"" and current_button[0] > 0:
                current_button[0] -= 1
            elif move == ""D"" and current_button[0] < 2:
                current_button[0] += 1
            elif move == ""L"" and current_button[1] > 0:
                current_button[1] -= 1
            elif move == ""R"" and current_button[1] < 2:
                current_button[1] += 1
        bathroom_code += str(keypad[current_button[0]][current_button[1]])
    return bathroom_code

with open(""input.txt"", ""r"") as f:
    instructions = f.read().splitlines()
print(get_bathroom",2.0
62,62,2016,2,2,part1_failed,,516DD,,,
63,63,2016,3,1,no_error,"993
",993,,"
with open('input.txt') as f:
    count = 0
    for line in f:
        a, b, c = map(int, line.split())
        if a + b > c and a + c > b and b + c > a:
            count += 1
    print(count)
",0.0
64,64,2016,3,2,wrong_output,"993
",1849,,"
with open('input.txt') as f:
    count = 0
    for line in f:
        a, b, c = map(int, line.split())
        if a + b > c and a + c > b and b + c > a:
            count += 1
    print(count)
",2.0
65,65,2016,4,1,runtime_error,,245102,"Traceback (most recent call last):
  File ""/tmp/tmpnim8q1w_/tmp.py"", line 30, in <module>
    main()
  File ""/tmp/tmpnim8q1w_/tmp.py"", line 23, in main
    real_rooms = [room for room in rooms if is_real_room(room)]
  File ""/tmp/tmpnim8q1w_/tmp.py"", line 23, in <listcomp>
    real_rooms = [room for room in rooms if is_real_room(room)]
  File ""/tmp/tmpnim8q1w_/tmp.py"", line 3, in is_real_room
    name, sector_id, checksum = room.split('-')
ValueError: too many values to unpack (expected 3)
","
def is_real_room(room):
    name, sector_id, checksum = room.split('-')
    sector_id = int(sector_id)
    checksum = checksum[1:-1]

    counts = {}
    for letter in name:
        if letter not in counts:
            counts[letter] = 0
        counts[letter] += 1

    sorted_counts = sorted(counts.items(), key=lambda x: (-x[1], x[0]))
    most_common_letters = [letter for letter, count in sorted_counts[:5]]

    return ''.join(most_common_letters) == checksum


def main():
    with open('input.txt') as f:
        rooms = f.readlines()

    real_rooms = [room for room in rooms if is_real_room(room)]
    sector_ids = [int(room.split('-')[1]) for room in real_rooms]

    print(sum(sector_ids))


if __name__ == '__main__':
    main()
",2.0
66,66,2016,4,2,part1_failed,,324,,,
67,67,2016,5,1,no_error,"1a3099aa
",1a3099aa,,"
import hashlib

def get_password(door_id):
    password = """"
    i = 0
    while len(password) < 8:
        hash = hashlib.md5((door_id + str(i)).encode()).hexdigest()
        if hash[:5] == ""00000"":
            password += hash[5]
        i += 1
    return password

if __name__ == ""__main__"":
    with open(""input.txt"", ""r"") as f:
        door_id = f.read().strip()
    print(get_password(door_id))
",2.0
68,68,2016,5,2,runtime_error,,694190cd,"Traceback (most recent call last):
  File ""/tmp/tmpqvx8kjx4/tmp.py"", line 19, in <module>
    print(get_password(door_id))
  File ""/tmp/tmpqvx8kjx4/tmp.py"", line 11, in get_password
    if password[pos] == ""_"":
IndexError: list index out of range
","
import hashlib

def get_password(door_id):
    password = [""_""] * 8
    i = 0
    while ""_"" in password:
        hash = hashlib.md5((door_id + str(i)).encode()).hexdigest()
        if hash[:5] == ""00000"":
            pos = int(hash[5], 16)
            if password[pos] == ""_"":
                password[pos] = hash[6]
        i += 1
    return """".join(password)

if __name__ == ""__main__"":
    with open(""input.txt"", ""r"") as f:
        door_id = f.read().strip()
    print(get_password(door_id))
",2.0
69,69,2016,6,1,no_error,"ygjzvzib
",ygjzvzib,,"
with open('input.txt') as f:
    lines = f.readlines()
    columns = [''.join([line[i] for line in lines]) for i in range(len(lines[0])-1)]
    print(''.join([max(set(column), key=column.count) for column in columns]))
",0.0
70,70,2016,6,2,no_error,"pdesmnoz
",pdesmnoz,,"
with open('input.txt') as f:
    lines = f.readlines()
    columns = [''.join([line[i] for line in lines]) for i in range(len(lines[0])-1)]
    print(''.join([min(set(column), key=column.count) for column in columns]))
",0.0
73,73,2016,7,1,wrong_output,"67
",115,,"
import re

def supports_tls(ip):
    abba = re.compile(r'(.)(?!\1)(.)\2\1')
    hypernet = re.compile(r'\[.*?\]')
    return bool(abba.search(ip) and not abba.search(hypernet.sub('', ip)))

with open('input.txt') as f:
    print(sum(supports_tls(line.strip()) for line in f))
",2.0
74,74,2016,7,2,part1_failed,,231,,,
75,75,2016,8,1,runtime_error,,115,"  File ""/tmp/tmpmvc9oj2q/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
with open('input.txt') as f:
    instructions = f.readlines()

screen = [['.'] * 50 for _ in range(6)]

for instruction in instructions:
    if instruction.startswith('rect'):
        a, b = map(int, instruction[5:].split('x'))
        for i in range(b):
            for j in range(a):
                screen[i][j] = '#'
    elif instruction.startswith('rotate row'):
        _, y, _, b = instruction.split()
        y = int(y[2:])
        b = int(b)
        screen[y] = screen[y][-b:] + screen[y][:-b]
    elif instruction.startswith('rotate column'):
        _, x, _, b = instruction.split()
        x = int(x[2:])
        b = int(b)
        screen = list(zip(*screen))
        screen[x] = screen[x][-b:] + screen[x][:-b]
        screen = list(zip(*screen))

print('\n'.join(''.join(row) for row in",2.0
76,76,2016,8,2,part1_failed,,"####.####.####.#...##..#.####.###..####..###...##.
#....#....#....#...##.#..#....#..#.#......#.....#.
###..###..###...#.#.##...###..#..#.###....#.....#.
#....#....#......#..#.#..#....###..#......#.....#.
#....#....#......#..#.#..#....#.#..#......#..#..#.
####.#....####...#..#..#.#....#..#.#.....###..##..",,,
77,77,2016,9,1,no_error,"102239
",102239,,"
def decompress(data):
    result = """"
    i = 0
    while i < len(data):
        if data[i] == ""("":
            marker_end = data.find("")"", i)
            marker = data[i+1:marker_end]
            repeat_count = int(marker.split(""x"")[0])
            repeat_data = data[marker_end+1:marker_end+1+repeat_count]
            result += repeat_data * int(marker.split(""x"")[1])
            i = marker_end + 1 + repeat_count
        else:
            result += data[i]
            i += 1
    return result

with open(""input.txt"", ""r"") as f:
    data = f.read()

print(len(decompress(data)))
",1.0
78,78,2016,9,2,no_error,"10780403063
",10780403063,,"
def decompress(data):
    result = """"
    i = 0
    while i < len(data):
        if data[i] == ""("":
            marker_end = data.find("")"", i)
            marker = data[i+1:marker_end]
            repeat_count = int(marker.split(""x"")[0])
            repeat_data = data[marker_end+1:marker_end+1+repeat_count]
            result += decompress(repeat_data) * int(marker.split(""x"")[1])
            i = marker_end + 1 + repeat_count
        else:
            result += data[i]
            i += 1
    return result

with open(""input.txt"", ""r"") as f:
    data = f.read()

print(len(decompress(data)))
",0.0
81,81,2016,10,1,runtime_error,,118,"  File ""/tmp/tmpz56xa3ma/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import re

def parse_instruction(instruction):
    match = re.match(r'value (\d+) goes to bot (\d+)', instruction)
    if match:
        return ('value', int(match.group(1)), int(match.group(2)))
    match = re.match(r'bot (\d+) gives low to (\w+) (\d+) and high to (\w+) (\d+)', instruction)
    if match:
        return ('bot', int(match.group(1)), match.group(2), int(match.group(3)), match.group(4), int(match.group(5)))
    raise ValueError('Invalid instruction: ' + instruction)

def execute_instruction(instruction, bots, outputs):
    if instruction[0] == 'value':
        bots[instruction[2]].append(instruction[1])
    elif instruction[0] == 'bot':
        if len(bots[instruction[1]]) == 2:
            bots[instruction[1]].sort()
            if instruction[2] == 'bot':
                bots[instruction[3]].append(bots[instruction[1",2.0
82,82,2016,10,2,part1_failed,,143153,,,
83,83,2016,11,1,runtime_error,,37,"  File ""/tmp/tmpsiespwv4/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from collections import defaultdict, deque
from itertools import combinations

def solve(floors):
    # Initialize the state
    state = {
        'elevator': 0,
        'floors': floors,
    }

    # Initialize the queue
    queue = deque([state])

    # Initialize the visited set
    visited = set()

    # Initialize the minimum number of steps
    min_steps = 0

    # While the queue is not empty
    while queue:
        # Pop the current state from the queue
        state = queue.popleft()

        # If the current state is the goal state
        if state['elevator'] == 3 and all(floor == [] for floor in state['floors']):
            # Return the minimum number of steps
            return min_steps

        # If the current state has not been visited
        if state not in visited:
            # Add the current state to the visited set
            visited.add(state)

            # For each possible move
            for move in get_moves(state):
                # Create a new state
                new_state = {
                    'elevator': move[0],
                    ",2.0
84,84,2016,11,2,part1_failed,,61,,,
85,85,2016,12,1,runtime_error,,318083,"Traceback (most recent call last):
  File ""/tmp/tmpr347i3lq/tmp.py"", line 24, in <module>
    print(run_program(code))
  File ""/tmp/tmpr347i3lq/tmp.py"", line 17, in run_program
    if registers[x] != 0:
KeyError: '1'
","
def run_program(code):
    registers = {'a': 0, 'b': 0, 'c': 0, 'd': 0}
    pc = 0
    while pc < len(code):
        instruction, x, y = code[pc]
        if instruction == 'cpy':
            if x.isdigit():
                registers[y] = int(x)
            else:
                registers[y] = registers[x]
        elif instruction == 'inc':
            registers[x] += 1
        elif instruction == 'dec':
            registers[x] -= 1
        elif instruction == 'jnz':
            if registers[x] != 0:
                pc += int(y) - 1
        pc += 1
    return registers['a']

with open('input.txt') as f:
    code = [line.split() for line in f.readlines()]
print(run_program(code))
",2.0
86,86,2016,12,2,part1_failed,,9227737,,,
